"part_id","age","ageRound","cueDum","cueContrast","blockNum","trialNum","tType","acc","reachRT","minDist","minPDist","szDummyAgg","Reach Type","Age","Condition","Trial Type"
1006,4.06,4,1,0.5,4,15,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,4,16,0.5,0,0,0.359042938570878,0.26506514992542,1,"Go: Inaccurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,5,17,0.5,1,2176.19819139,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,5,18,0.5,1,1222.64105003,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,5,19,0.5,1,1839.14300473,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,5,20,0.5,1,1693.82062742,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,6,21,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,6,22,0.5,1,1478.42322518,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,6,23,0.5,1,1630.47440688,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,6,24,-0.5,1,0,1.354546,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,7,25,0.5,1,1910.13052561,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,7,26,0.5,1,1902.50117191,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,7,27,0.5,1,1426.10148047,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,7,28,0.5,1,1263.61575956,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,8,29,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,8,30,0.5,1,1343.81527987,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,8,31,0.5,1,1846.92197591,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,8,32,0.5,1,1741.6225589,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,9,33,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,9,34,0.5,1,1461.62681418,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,9,35,0.5,1,1769.64881421,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
